CASENAME,Depth,Area,RESTHICK,PRESS,TEMP,OILGRAV,SOLGOR,Visco,Psat,Bo,FLUIDTYPE,WATSAL,Aquifer,POROSITY,NTG,PERM,CONWATER,PERM.AQUIFER,OOIP,RF,RFmax,Np,Nw,Ng,Nwi,GOR,SWx,RELPERM.RESSAT.Kro,RELPERM.ENDPOINT.Kro,RELPERM.ENDPOINT.Krw,RELPERM.EXPON.Kro,RELPERM.EXPON.Krw,PROD.PI,WINJ.PI,PROD_TIME,Field.OILRATE,Field.WATRATE,Field.GASRATE,Field.INJWATRATE,Field.INJGASRATE,NumPROD,NumWINJ,BODP_well
43e8ea77,7310,19.5,137,3820,180,41.2,1200,0.3,3439,1.4584,Undersaturated,58100,Weak,0.188,0.57,190,0.235,160,240,40.7,58.5,98.7,11.03,429599,121.21,4353,0.47,NA,0.914,0.299,NA,NA,NA,1,28.7,15900,6600,0,24900,9800,11,8,41923.78109153625
16e1320d,6420,13.1,229,3500,168,13.7,80,91.6,1009,1.0427,Near Saturation,86700,Medium,0.173,0.81,420,0.396,230,320,11.8,20.1,37.62,89.71,2182,52.09,58,NA,NA,0.88,0.3,NA,1.956,6,8,9.9,36000,43600,0,26100,0,5,1,NA
3c106751,7120,14.9,255,4250,162,39.5,310,1.1,1109,1.1,Undersaturated,36000,Weak,0.234,0.63,130,0.211,110,700,28.1,50.3,196.27,10.61,45150,217.26,230,0.43,0.254,0.83,0.121,NA,NA,NA,3,10,73800,20000,0,96600,0,14,10,33378.988974711065
e95ff0fb,10800,27.7,93,7040,241,43.2,2200,0.2,6384,1.941,Near Saturation,26500,Weak,0.211,0.51,190,0.169,NA,290,39.8,56.8,114.52,0.64,1107722,62.05,9672,0.25,0.2012,NA,0.34,NA,2.206,1,1,21,27000,300,200,NA,3800,13,9,38176.62850149209
b1ae336a,8490,18.8,207,3860,207,25.9,200,2.6,1326,1.09,Undersaturated,45100,Very Strong,0.189,0.57,660,0.273,NA,440,37.1,40,163.78,154.13,25103,0,153,NA,0.243,0.97,0.33,NA,NA,6,NA,20.2,54000,39400,0,0,0,7,0,68328.44258803941
304f8e57,10100,23.9,245,4810,225,42.5,1260,0.2,3646,1.492,Undersaturated,25400,Strong,0.216,0.53,270,0.181,240,760,34.3,46.1,259.76,0.43,1664903,0,6409,0.2,0.2,NA,NA,NA,1.844,NA,4,23.9,94000,100,NA,0,4600,11,3,37587.07701685066
eef3f5cd,5100,24.2,202,2390,176,33.4,410,NA,2152,1.2,Undersaturated,92100,Medium,0.141,0.45,150,0.35,100,310,14.8,15.4,45.8,0.08,84000,0,1834,0.39,NA,0.783,0.503,NA,NA,1,2,34.4,19500,0,0,0,0,20,0,23466.59381196223
2e2c71ab,10080,9.1,87,5030,222,16.6,180,10.6,1975,1.083,Near Saturation,63200,Strong,0.222,0.71,600,0.33,NA,100,32.3,34.8,32.23,262.28,4405,187.44,137,0.54,0.258,0.81,0.22,NA,NA,2,4,37.2,11000,26400,0,17000,0,5,1,NA
a4d576c1,7330,8.5,137,3360,189,37,NA,NA,804,1.081,Highly Undersaturated,27400,Strong,0.245,NA,410,0.206,440,240,47.8,52.4,112.29,100.55,17710,0,158,NA,NA,0.885,0.33,NA,NA,NA,6,50.4,24000,14600,0,0,0,7,0,60823.289076582296
670f1b18,6990,39.5,271,3580,188,27.1,330,2.3,1791,1.12,Near Saturation,75300,Medium,0.187,0.47,200,0.325,150,900,16.4,16.1,147.79,5.36,86896,0,588,NA,0.26,0.73,0.338,NA,NA,NA,NA,47.3,100800,1000,0,0,NA,25,NA,20090.128171920776
6b8113ef,3130,26.2,167,1540,150,31.2,170,2.2,NA,1.06,Undersaturated,70800,Medium,0.161,0.48,250,0.318,170,290,16.8,17.7,48.35,0.24,15623,0,323,0.36,0.26,0.719,0.3255,NA,NA,NA,NA,59.5,24500,NA,NA,0,NA,15,0,31073.667794106295
a17e270d,5420,19.9,184,3060,157,26,250,5.2,1498,1.082,Near Saturation,90100,Weak,0.193,0.86,140,0.363,NA,450,9.3,NA,41.55,3.13,7919,41.15,191,0.42,NA,0.857,NA,3.416,NA,2,2,5.2,44500,NA,0,64600,0,15,10,28823.158863951685
45e11779,11020,11.9,233,5220,254,32.9,130,NA,642,1.0687,Highly Undersaturated,6800,Very Strong,0.279,0.61,1870,0.169,1590,610,43.8,NA,266.51,1706.01,25866,0,97,0.52,0.207,NA,0.414,NA,2.374,19,32,40.5,75000,239500,0,0,NA,4,0,129040.99110765819
7742fd94,11710,26.2,157,5820,251,22.5,120,2.9,841,1.068,Undersaturated,7400,Very Strong,0.296,0.62,1910,0.172,1590,730,35.9,40.6,263.11,1305.24,24020,0,91,0.45,0.208,NA,0.3935,NA,NA,NA,NA,28.2,85000,277400,0,0,0,5,0,83202.43752014358
9549c205,6390,13.9,208,3820,147,24.7,360,4.2,2123,1.12,Near Saturation,91700,Weak,0.173,0.54,100,0.363,80,230,2.7,2.8,6.2,0,2117,0.65,342,0.24,NA,NA,0.4693,NA,2.61,1,NA,45.7,21000,0,NA,43200,16000,NA,NA,NA
cb8941d9,6660,20.3,267,3480,176,20.8,220,11.9,1830,1.08,Near Saturation,92600,Medium,0.192,0.73,230,0.382,NA,730,12.6,18.8,92.2,8.3,15217,0,NA,0.45,0.27,0.819,0.25,NA,2.324,NA,5,9.1,71000,4800,0,0,NA,9,0,52274.74331813282
b34231f7,10500,15.8,108,5370,206,16,20,26.4,206,1.0365,Highly Undersaturated,NA,NA,0.297,0.35,1810,0.203,NA,180,10.4,NA,18.51,1.32,324,11.62,18,0.29,0.2492,0.728,0.33,NA,NA,5,NA,6.8,18000,5700,0,17600,0,4,1,NA
5634eaa1,2720,10.8,204,5130,147,36,1220,1.2,4656,1.1216,Near Saturation,119800,NA,0.104,0.67,110,0.425,NA,110,41.7,42.5,44.4,155.48,403168,217.89,9081,0.61,0.2525,NA,0.21,NA,NA,1,NA,43.1,8000,16600,0,32200,0,13,12,37846.13122661428
4cfef9d4,2370,12.6,181,1540,114,28.4,270,4.7,1296,1.08,Undersaturated,NA,Weak,0.139,0.46,170,0.406,90,110,33.8,37.6,36.32,276.48,7303,317.09,201,0.61,0.292,NA,NA,NA,NA,1,NA,54.2,13000,16600,0,23700,0,12,6,NA
129b35a0,9570,14,78,4740,242,19.8,230,5.1,1980,1.1,Near Saturation,52300,Medium,0.168,0.78,500,0.299,320,140,33.8,38.3,48.83,79.96,8311,0,170,0.51,0.263,0.922,0.4,2.697,2.581,NA,NA,30.6,14000,17400,0,0,NA,6,0,70964.1054783744
62a64001,1480,17.3,286,970,111,26.6,80,14.9,363,1.03,Highly Undersaturated,102000,Weak,0.154,0.84,180,0.405,120,490,12.3,12.2,60.15,3.5,7560,0,126,0.43,NA,0.93,NA,NA,2.018,NA,6,26.4,35600,500,0,0,0,NA,0,21133.651323396978
f6ed5966,5630,10.9,447,3500,158,14.2,20,341.9,189,1.0247,Highly Undersaturated,51900,Medium,0.253,0.54,500,0.331,400,620,17.1,22.6,106.59,1635.98,1726,1647.48,NA,NA,0.31,0.836,0.18,NA,1.53,7,19,43.2,46800,114400,0,116700,0,NA,2,59456.16672898759
c0a946cd,9460,27.8,194,4750,209,16.8,110,14.3,1161,1.06,Near Saturation,46800,Strong,0.218,0.76,730,0.299,530,760,12.8,37.1,97.9,23.14,7813,55.17,80,0.39,0.27,0.7426,0.3493,NA,NA,9,NA,7.3,66000,61900,0,52000,0,6,2,74626.98354610184
c5021701,4430,29.9,238,3230,122,12.6,30,1657.8,254,1.022,Highly Undersaturated,85900,Medium,0.246,0.78,240,0.397,180,930,8.9,12.4,83.22,1042.17,1608,1103.42,19,0.45,NA,0.9174,0.45,NA,NA,5,NA,31.7,25300,109900,NA,147200,0,10,8,45845.67761017126
